timestamp,relative_sec,sensor,ch1_name,ch1_val,ch2_name,ch2_val,ch3_name,ch3_val,raw_line
1786026258.9686556,6.292,PPG,RED,1090,IR,1031,samples,100,[PPG] cnt=100 int=99 RED=1090 IR=1031 drained=1
1786026259.9709237,7.295,PPG,RED,1027,IR,935,samples,200,[PPG] cnt=200 int=199 RED=1027 IR=935 drained=1
1786026259.9790049,7.303,PPG,RED,1027,IR,935,samples,200,[PPG] samples=200  RED=1027  IR=935  sensor=OK
1786026259.9854045,7.309,IMU_ACCEL,ax,0,ay,0,az,0,[IMU] accel: ax=0  ay=0  az=0
1786026259.9887393,7.312,IMU_GYRO,gx,0,gy,0,gz,0,[IMU] gyro:  gx=0  gy=0  gz=0
1786026260.9929984,8.317,PPG,RED,994,IR,978,samples,300,[PPG] cnt=300 int=299 RED=994 IR=978 drained=1
1786026261.994506,9.318,PPG,RED,1073,IR,990,samples,400,[PPG] cnt=400 int=399 RED=1073 IR=990 drained=1
1786026262.0028586,9.326,PPG,RED,1073,IR,990,samples,400,[PPG] samples=400  RED=1073  IR=990  sensor=OK
1786026262.0111883,9.335,IMU_ACCEL,ax,0,ay,0,az,0,[IMU] accel: ax=0  ay=0  az=0
1786026262.0126228,9.336,IMU_GYRO,gx,0,gy,0,gz,0,[IMU] gyro:  gx=0  gy=0  gz=0
1786026263.0172765,10.341,PPG,RED,977,IR,940,samples,500,[PPG] cnt=500 int=499 RED=977 IR=940 drained=1
1786026264.0217888,11.345,PPG,RED,1075,IR,1028,samples,600,[PPG] cnt=600 int=599 RED=1075 IR=1028 drained=1
1786026264.0287244,11.352,PPG,RED,1075,IR,1028,samples,600,[PPG] samples=600  RED=1075  IR=1028  sensor=OK
1786026264.0342267,11.358,IMU_ACCEL,ax,0,ay,0,az,0,[IMU] accel: ax=0  ay=0  az=0
1786026264.0391622,11.363,IMU_GYRO,gx,0,gy,0,gz,0,[IMU] gyro:  gx=0  gy=0  gz=0
1786026265.0431104,12.367,PPG,RED,1021,IR,938,samples,700,[PPG] cnt=700 int=699 RED=1021 IR=938 drained=1
1786026266.0454788,13.369,PPG,RED,1005,IR,994,samples,800,[PPG] cnt=800 int=799 RED=1005 IR=994 drained=1
1786026266.05349,13.377,PPG,RED,1005,IR,994,samples,800,[PPG] samples=800  RED=1005  IR=994  sensor=OK
1786026266.061248,13.385,IMU_ACCEL,ax,0,ay,0,az,0,[IMU] accel: ax=0  ay=0  az=0
1786026266.0632482,13.387,IMU_GYRO,gx,0,gy,0,gz,0,[IMU] gyro:  gx=0  gy=0  gz=0
1786026267.0670857,14.391,PPG,RED,1052,IR,965,samples,900,[PPG] cnt=900 int=899 RED=1052 IR=965 drained=1
1786026268.07175,15.395,PPG,RED,971,IR,945,samples,1000,[PPG] cnt=1000 int=999 RED=971 IR=945 drained=1
1786026268.0793056,15.403,PPG,RED,971,IR,945,samples,1000,[PPG] samples=1000  RED=971  IR=945  sensor=OK
1786026268.085745,15.409,IMU_ACCEL,ax,0,ay,0,az,0,[IMU] accel: ax=0  ay=0  az=0
1786026268.0876052,15.411,IMU_GYRO,gx,0,gy,0,gz,0,[IMU] gyro:  gx=0  gy=0  gz=0
1786026269.0934675,16.417,PPG,RED,1081,IR,1033,samples,1100,[PPG] cnt=1100 int=1099 RED=1081 IR=1033 drained=1
1786026270.0993214,17.423,PPG,RED,998,IR,921,samples,1200,[PPG] cnt=1200 int=1199 RED=998 IR=921 drained=1
1786026270.106504,17.430,PPG,RED,998,IR,921,samples,1200,[PPG] samples=1200  RED=998  IR=921  sensor=OK
1786026270.1091053,17.433,IMU_ACCEL,ax,0,ay,0,az,0,[IMU] accel: ax=0  ay=0  az=0
1786026270.1128805,17.436,IMU_GYRO,gx,0,gy,0,gz,0,[IMU] gyro:  gx=0  gy=0  gz=0
1786026271.1181848,18.442,PPG,RED,1121,IR,1108,samples,1300,[PPG] cnt=1300 int=1299 RED=1121 IR=1108 drained=1
